X	Y	Species	Type	Diam	Height
3.42728579367395	5.39453513047192	QURO	Adult	42.0169049762604	0
3.69647130874364	4.83330012660008	CRMO	Adult	6.36619772367581	0
3.78437597327138	5.83317657210864	QURO	Adult	14.3239448782706	0
4.50860889351316	7.26664742716821	QURO	Adult	20.0535228295788	0
5.56379438692966	7.69267140491866	CRMO	Adult	12.095775674984	0
6.33572049293434	7.90126738656545	QURO	Adult	31.5126787321953	0
11.8969139578039	10.3600574244629	QURO	Adult	20.0535228295788	0
13.5823941154013	10.8859657148132	QURO	Adult	40.1070456591576	0
22.2157439829098	17.1838327631122	QURO	Adult	19.2577481141193	0
26.5519684655519	17.5505706049153	QURO	Adult	38.1971863420549	0
26.2169919458902	18.3355410334188	QURO	Adult	24.6690161792438	0
28.343434690134	20.0774988475023	QURO	Adult	22.2816920328653	0
32.6756362757442	20.2217667145887	QURO	Adult	36.9239467973197	0
33.4837379322344	22.4326433754177	QURO	Adult	28.0112699841736	0
34.5549969890926	23.7485740319826	QURO	Adult	27.0563403256222	0
36.3183190430791	24.7181788056041	CRMO	Adult	7.0028174960434	0
35.5228147501984	27.0693041920895	QURO	Adult	44.5633840657307	0
34.4219454334307	27.9793864638195	PRPA	Adult	21.326762374314	0
25.487824432792	24.357508356974	QURO	Adult	19.735212943395	0
25.4240454127503	24.6924825938768	QURO	Adult	45.2000038380983	0
24.0856075741685	24.0490253390162	QURO	Adult	22.9183118052329	0
22.7250576454389	22.1819549910142	QURO	Adult	19.8943678864869	0
20.3656111053351	23.003510145063	QURO	Adult	31.5126787321953	0
20.8140725058984	20.7699276412022	QURO	Adult	57.2957795130823	0
19.1662420015709	18.4629540657043	CRMO	Adult	12.095775674984	0
15.4899157563486	15.970092242118	QURO	Adult	35.9690171387684	0
14.7556354512126	13.9804319310933	QURO	Adult	18.1436635124761	0
11.6960813082624	14.7033697880106	QURO	Adult	23.0774667483248	0
6.46785578125127	11.3483706503175	QURO	Adult	17.5070437401085	0
6.38598322188045	10.6822069034679	QURO	Adult	24.8281711223357	0
6.62121290797222	23.697003867419	QURO	Adult	36.6056369111359	0
9.43369078043179	24.7589110207045	QURO	Adult	41.3802852038928	0
12.5012800747427	24.4809221000178	QURO	Adult	31.5126787321953	0
12.1447463021541	27.9368571136729	QURO	Adult	38.5154962282387	0
11.6601021800088	28.168163926166	CRMO	Adult	31.1943688460115	0
17.4120560218507	25.7274595866911	SAMB	Adult	6.04788783749202	0
18.0885860824346	28.3858073547017	QURO	Adult	35.014087480217	0
14.4490051687244	31.7897998885019	QURO	Adult	26.4197205532546	0
17.8776981688789	32.1729315479752	CRMO	Adult	8.27605704077856	0
18.1790479377451	33.3914986536838	CRMO	Adult	4.77464829275686	0
22.4293684988297	32.869593822863	QURO	Adult	33.422538049298	0
23.3107562323203	31.4071055318927	QURO	Adult	27.6929600979898	0
23.5839627071691	31.0683467533672	QURO	Adult	24.1915513499681	0
24.2363673653235	32.3918442847789	CRMO	Adult	4.77464829275686	0
25.7224618446344	33.4777289649937	QURO	Adult	33.7408479354818	0
29.3947506097538	35.7481229056721	PRPA	Snag	15.9154943091895	0
32.3488451625817	36.9187573858071	CRMO	Adult	6.36619772367581	0
34.7263761108843	37.0983460510033	QURO	Adult	48.0647928137524	0
33.222733862829	38.9058974387008	QURO	Snag	16.5521140815571	0
34.6329856938319	39.6593333032797	SAMB	Adult	7.32112738222719	0
39.220289119643	38.4637101686094	PRPA	Adult	28.3295798703574	0
36.6775486209081	40.7351303601754	QURO	Adult	22.2816920328653	0
38.9973273816286	41.5834078674088	QURO	Adult	24.1915513499681	0
38.0340690173398	42.3797292038798	QURO	Adult	17.5070437401085	0
39.3725002950086	43.0231900861836	QURO	Adult	22.2816920328653	0
38.8220670352748	43.4782307894784	QURO	Adult	29.6028194150925	0
40.5155725308796	44.4490982753923	QURO	Adult	28.6478897565412	0
40.40208164449	45.8977095026639	QURO	Adult	29.2845095289087	0
41.1242891602524	47.2199478959665	QURO	Adult	16.8704239677409	0
40.6476847820231	47.8962023201166	QURO	Adult	23.5549315776005	0
41.0168275160904	49.0022718834807	QURO	Adult	35.9690171387684	0
40.8254885652786	50.0071940079797	QURO	Adult	34.6957775940332	0
39.4494072351736	51.1447954892064	QURO	Adult	26.1014106670708	0
38.3048615252046	53.5022269269684	QURO	Adult	37.5605665696873	0
35.5039276520183	49.2131525102886	CRMO	Adult	7.63943726841098	0
33.280089938642	49.8097038904089	QURO	Adult	45.8366236104659	0
29.8689587159242	46.5331232344033	QURO	Adult	3.18309886183791	0
28.3753713235492	48.8968640255043	QURO	Adult	24.6690161792438	0
26.1078565483404	50.9407686212799	QURO	Adult	34.6957775940332	0
27.1860648865986	44.9124940405018	QURO	Adult	37.5605665696873	0
24.5057250520113	47.2976808566018	QURO	Snag	15.278874536822	0
22.9448885135716	53.6684993655072	SAMB	Adult	5.09295817894065	0
21.7822591926015	55.024796280486	QURO	Adult	42.9718346348117	0
20.7868425828347	54.0413195291767	QURO	Adult	28.6478897565412	0
22.0112400557846	52.2388105167192	QURO	Adult	42.3352148624442	0
21.3648677471429	51.2490260243649	PRPA	Adult	7.32112738222719	0
19.280650334018	51.8430604567984	QURO	Adult	7.48028232531908	0
15.8925307081881	42.1121860241983	ACPS	Adult	18.4619733986599	0
15.3581820253748	43.457129943883	QURO	Adult	28.0112699841736	0
18.7457795101946	91.8000619781087	QURO	Adult	41.3802852038928	0
15.4868986013535	93.0829704935895	QURA	Adult	5.09295817894065	0
