X	Y	Species	Type	Diam	Height
20.6832277686699	1.72445382189471	ABAL	Snag	27.374650211806	0
19.781797712516	2.07452947791899	ABAL	Snag	19.0985931710274	0
18.2425063883129	5.77432179701282	ABAL	Adult	41.6985950900766	0
15.6718087265763	6.48832013347419	ABAL	Adult	45.9957785535578	0
15.4704215514648	6.93704694102053	ABAL	Adult	32.4676083907466	0
13.031308182326	7.20357853377936	ABAL	Adult	48.3831026999362	0
7.62273852485669	9.30404304229887	ABAL	Adult	34.2183127647575	0
3.50273512127023	13.1616553632193	ABAL	Snag	29.6028194150925	0
1.46439034752984	12.4195002947235	ABAL	Adult	20.3718327157626	0
2.48778162103554	14.9603413335863	ABAL	Adult	26.5788754963465	0
3.19384099503077	15.3927028477192	ABAL	Adult	37.2422566835035	0
8.39098584588646	13.1847724316758	ABAL	Adult	31.3535237891034	0
15.7781209493551	12.3839157032198	ABAL	Adult	35.9690171387684	0
18.7796716581943	12.3297911697882	ABAL	Adult	29.9211293012763	0
21.8309683075859	11.1620332134771	ABAL	Snag	24.5098612361519	0
19.8487880697066	13.5345251191757	ABAL	Adult	32.1492985045629	0
15.7865472777703	16.7234428814845	ABAL	Snag	31.1943688460115	0
14.8072931320567	16.6298275548033	ABAL	Snag	27.374650211806	0
11.5465910234925	17.8013661053265	ABAL	Adult	21.6450722604978	0
4.60235851400648	19.9295274841134	ABAL	Snag	36.446481968044	0
7.28297294108052	21.4390176751185	ABAL	Adult	38.5154962282387	0
8.18239265130251	20.9777021328919	ABAL	Adult	32.1492985045629	0
13.2078317150008	16.9924918846809	ABAL	Snag	23.2366216914167	0
19.3842334168003	14.8781877126894	ABAL	Adult	43.2901445209955	0
26.4163330231604	13.7499268632964	PIAB	Snag	21.326762374314	0
27.3438347316405	14.8459418924758	ABAL	Adult	16.8704239677409	0
32.42706492875	10.1920662166085	ABAL	Adult	18.1436635124761	0
27.6952514492659	18.8454632158973	ABAL	Adult	32.4676083907466	0
25.2822172468659	20.5580785048078	ABAL	Snag	26.1014106670708	0
23.493403524204	22.0368919685716	ABAL	Adult	35.9690171387684	0
14.6047082688747	24.7564699018258	ABAL	Adult	33.422538049298	0
9.04050194441515	25.969549287518	ABAL	Snag	19.0985931710274	0
12.4291747461102	28.0226422193227	ABAL	Snag	33.1042281631142	0
11.1847515169648	28.712726284517	ABAL	Adult	21.6450722604978	0
10.6463853902824	29.8351731889998	ABAL	Adult	28.966199642725	0
8.59441464097472	32.2089283603709	ABAL	Snag	21.4859173174059	0
12.2538664871463	29.917458639713	ABAL	Snag	35.4915523094927	0
14.4634998211404	28.542326329276	ABAL	Adult	33.7408479354818	0
19.6586298260809	26.2231696965173	ABAL	Adult	23.2366216914167	0
23.7690025195407	25.7039587033214	ABAL	Adult	29.9211293012763	0
24.4453694611002	28.3623348660767	ABAL	Adult	33.422538049298	0
22.7720963704342	28.5037795127719	ABAL	Snag	33.422538049298	0
19.79261914167	29.7815159434103	ABAL	Snag	30.2394391874601	0
18.7776635252158	31.5801986660808	ABAL	Snag	24.8281711223357	0
14.0631381705898	33.4455943062785	ABAL	Adult	28.966199642725	0
